Produkt-Typ (Rohr),Produkt-Norm (Rohr),Herstellungsart,Nennweite (DN),Nennweite (Zoll),Wandstärke (mm),Schedule,Außendurchmesser (mm),Innendurchmesser (mm),Fugenform,Oberfläche,Lieferzustand,Werkstoffnummer,DIN/EN-Bezeichnung,Stahlsorte,Handelsname,UNS-Nummer,Gussnummer,Werkstoff Norm,Zulassungen,Ursprung
,,,,,,,,,,,,1.7386,39MnCrB6-2,Grade L3,X,,,VdTÜV WB 457 BBL,,
,,,,,,,,,,,,1.7389,25CrMoS4 / 25CrMoS4,Type L3,Alloy X,,,VdTÜV WB 459/2,,
,,,,,,,,,,,,1.7511,30CrMo4,L3,VDM Alloy X,,,VdTÜV WB 459/3,,
,,,,,,,,,,,,1.7701,25CrMo4 / 25CrMo4,Grade Type D3,Hastelloy X,,,VdTÜV WB 459/3 BBL,,
,,,,,,,,,,,,1.7706,26CrMo4-2 / 26CrMo4,Grade D3,Hastelloy X/N06002,,,VdTÜV WB 460/1,,
,,,,,,,,,,,,1.7707,34CrMo4,Type D3,HX,,,VdTÜV WB 460/1 BBL,,
,,,,,,,,,,,,1.7709,41CrMo4,D3,Alloy HX,,,VdTÜV WB 461,,
,,,,,,,,,,,,1.7711,42CrMo4 / 42CrMo4,Grade Type S4,Allyo HX/N06002,,,VdTÜV WB 462,,
,,,,,,,,,,,,1.7715,34CrMoS4,Grade S4,Nicrofer 4722 Co,,,VdTÜV WB 465,,
,,,,,,,,,,,,1.7733,42CrMoS4,Type S4,Nicrofer 4722 Co/N06002,,,VdTÜV WB 466,,
,,,,,,,,,,,,1.7735,50CrMo4,S4,Inconel HX,,,VdTÜV WB 466 BBL,,
,,,,,,,,,,,,1.7737,49CrMo4,Grade Type S1,Inconel HX/N06002,,,VdTÜV WB 469,,
,,,,,,,,,,,,1.7766,60CrMo3-3,Grade S1,VDM Alloy 718,,,VdTÜV WB 469 BBL,,
,,,,,,,,,,,,1.7779,16CrMo4,Type S1,Alloy 718,,,VdTÜV WB 471,,
,,,,,,,,,,,,1.7783,18CrMo4,S1,Nicrofer 5219Nb,,,VdTÜV WB 471 BBL,,
,,,,,,,,,,,,1.8062,18CrMoS4,Grade Type 6150,Inconel Alloy 718,,,VdTÜV WB 472,,
,,,,,,,,,,,,1.8070,24CrMo5,Grade 6150,Inconel 718,,,VdTÜV WB 473,,
,,,,,,,,,,,,1.8159,26CrMo7,Type 6150,Haynes 718,,,VdTÜV WB 475,,
,,,,,,,,,,,,1.8161,15CrMo5,6150,Haynes Alloy 718,,,VdTÜV WB 475 BBL,,
,,,,,,,,,,,,1.8504,20CrMo5,Grade Type P20,VDM Alloy 718 CTP,,,VdTÜV WB 476,,
,,,,,,,,,,,,1.8506,23CrMoB3-3,Grade P20,Alloy 718 CTP,,,VdTÜV WB 476 BBL,,
,,,,,,,,,,,,1.8507,24CrMo10,Type P20,Nicrofer 5219 Nb,,,VdTÜV WB 477,,
,,,,,,,,,,,,1.8509,10CrMo11,P20,Böhler L718,,,VdTÜV WB 478/1,,
,,,,,,,,,,,,1.8515,16CrMo9-3,Grade Type H11,Nicrofer 7016TiNb Alloy X-750,,,VdTÜV WB 478/3,,
,,,,,,,,,,,,1.8519,20CrMoS2 / 20CrMo2,Grade H11,Allyo X-750,,,VdTÜV WB 479,,
,,,,,,,,,,,,1.8521,20MoCrS3,Type H11,Nicrofer 7016TiNb ,,,VdTÜV WB 479 BBL,,
,,,,,,,,,,,,1.8523,20MoCr3,H11,Inconel X-750,,,VdTÜV WB 480,,
,,,,,,,,,,,,1.8524,20MoCr4,Grade Type H13,Inconel Alloy X-750,,,VdTÜV WB 480 BBL,,
,,,,,,,,,,,,1.8550,20MoCrS4,Grade H13,Haynes Allo X-750,,,VdTÜV WB 481,,
,,,,,,,,,,,,1.8812,25MoCr4,Type H13,C-2000,,,VdTÜV WB 482,,
,,,,,,,,,,,,1.8815,25MoCrS4,H13,Alloy C-2000,,,VdTÜV WB 483,,
,,,,,,,,,,,,1.8821,17CrMo3-5,Grade Type H10,Alloy C-2000/N06200,,,VdTÜV WB 485,,
,,,,,,,,,,,,1.8823,22CrMoS3-5,Grade H10,Hastelloy C-2000,,,VdTÜV WB 485 BBL,,
,,,,,,,,,,,,1.8825,13CrMo44 / 13CrMo4-5,Type H10,Hastelloy C-2000/N06200,,,VdTÜV WB 486,,
,,,,,,,,,,,,1.8826,13CrMo4-5 / 13CrMo44,H10,N06200,,,VdTÜV WB 488,,
,,,,,,,,,,,,1.8831,16CrMo4-4,Grade Type M 50,Alloy M246,,,VdTÜV WB 488 BBL,,
,,,,,,,,,,,,1.8832,22CrMo4-4,Grade M 50,Mar-M246,,,VdTÜV WB 490,,
,,,,,,,,,,,,1.8833,GS-17CrMo55 / G17CrMo5-5,Type M 50,B1,,,VdTÜV WB 490 BBL,,
,,,,,,,,,,,,1.8834,32CrMo12,M 50,Alloy B1,,,VdTÜV WB 491,,
,,,,,,,,,,,,1.8836,12CrMo195 / X11CrMo5,Grade Type D7,Alloy B1/N30007,,,VdTÜV WB 492,,
,,,,,,,,,,,,1.8837,GX12CrMo5 / GS-12CrMo195,Grade D7,Hastelloy B1,,,VdTÜV WB 493,,
,,,,,,,,,,,,1.8900,GX15CrMo5,Type D7,Hastelloy B1/N30007,,,VdTÜV WB 494,,
,,,,,,,,,,,,1.8901,X16CrMo5-1,D7,718,,,VdTÜV WB 494 BBL,,
,,,,,,,,,,,,1.8902,X12CrMo7,Grade Type D2,Alloy 718/N07718,,,VdTÜV WB 496,,
,,,,,,,,,,,,1.8903,12CrMo9-10,Grade D2,55219 Nb,,,VdTÜV WB 496 BBL,,
,,,,,,,,,,,,1.8904,GS-18CrMo910 / G17CrMo9-10,Type D2,Nicrofer 5219 Nb/N07718,,,VdTÜV WB 497,,
,,,,,,,,,,,,1.8905,10CrMo910 / 10CrMo9-10,D2,Alloy 713LC,,,VdTÜV WB 497 BBL,,
,,,,,,,,,,,,1.8907,11CrMo9-10,Grade Type F1,Inconel 713LC,,,VdTÜV WB 499,,
,,,,,,,,,,,,1.8910,X11CrMo9-1 / X12CrMo9-1,Grade F1,713LC,,,VdTÜV WB 499 BBL,,
,,,,,,,,,,,,1.8912,GX12CrMo10-1 / G-X12CrMo101,Type F1,713,,,VdTÜV WB 500,,
,,,,,,,,,,,,1.8913,22CrV3,F1,Alloy 713  ,,,VdTÜV WB 501,,
,,,,,,,,,,,,1.8915,52CrMoV4 / 51CrMoV4,Grade Type 01,Inconel 713,,,VdTÜV WB 502,,
,,,,,,,,,,,,1.8917,GS-17CrMoV511 / G17CrMoV5-10,Grade 01,VDM Alloy 617B,,,VdTÜV WB 502 BBL,,
,,,,,,,,,,,,1.8918,30CrMoV9,Type 01,Alloy 617B,,,VdTÜV WB 503,,
,,,,,,,,,,,,1.8926,21CrMoV5-7,01,Nicrofer 5520 CoB,,,VdTÜV WB 503 BBL,,
,,,,,,,,,,,,1.8927,40CrMoV4-6 / 40CrMoV4-7,Grade Type F2,Alloy 100,,,VdTÜV WB 504,,
,,,,,,,,,,,,1.8928,14MoV6-3,Grade F2,VDM Alloy 188,,,VdTÜV WB 505,,
,,,,,,,,,,,,1.8930,24CrMoV5-5,Type F2,Alloy 188,,,VdTÜV WB 506,,
,,,,,,,,,,,,1.8931,14CrMoV6-9,F2,Conicro 4023W,,,VdTÜV WB 507,,
,,,,,,,,,,,,1.8932,45CrMoV6-7,Grade Type H14,Haynes 188,,,VdTÜV WB 507 BBL,,
,,,,,,,,,,,,1.8935,17CrMoV10,Grade H14,Haynes 188 Alloy,,,VdTÜV WB 508,,
,,,,,,,,,,,,1.8937,20CrMoV13-5-5 / 20CrMoV13-5,Type H14,Conicro 4023W-Alloy188,,,VdTÜV WB 509/1,,
,,,,,,,,,,,,1.8947,46SiCrMo6 / 46SiCrMo6-3,H14,188,,,VdTÜV WB 509/2,,
,,,,,,,,,,,,1.8948,21CrMoV5-11,Grade Type H21,VDM Alloy 31 Plus,,,VdTÜV WB 510,,
,,,,,,,,,,,,1.8952,51CrV4 / 50CrV4,Grade H21,Alloy 31 Plus ,,,VdTÜV WB 511/2,,
,,,,,,,,,,,,1.8953,58CrV4,Type H21,Nicrofer 3426hMo,,,VdTÜV WB 511/2 BBL,,
,,,,,,,,,,,,1.8955,34CrAI6,H21,VDM Alloy 751,,,VdTÜV WB 511/3,,
,,,,,,,,,,,,1.8956,34CrAIS5,Grade Type H12,Alloy 751,,,VdTÜV WB 511/3 BBL,,
,,,,,,,,,,,,1.8957,34CrAIMo5-10 / 34CrAIMo5,Grade H12,Nicrofer 7016TiAl,,,VdTÜV WB 513,,
,,,,,,,,,,,,1.8959,41CrAIMo7-10 / 41CrAIMo7,Type H12,Inconel Alloy 751,,,VdTÜV WB 514,,
,,,,,,,,,,,,1.8962,31CrMo12,H12,Inconel 751,,,VdTÜV WB 515,,
,,,,,,,,,,,,1.8963,31CrMoV9,Grade Type H19,Alloy 2120MoN,,,VdTÜV WB 516,,
,,,,,,,,,,,,1.8970,15CrMoV5-9,Grade H19,Nicrofer 5821hMoN,,,VdTÜV WB 517,,
,,,,,,,,,,,,1.8971,CuNi30Mn1Fe / 39CrMoV13-9,Type H19,2120MoN,,,VdTÜV WB 518,,
,,,,,,,,,,,,1.8972,8CrMoV16-5,H19,230,,,VdTÜV WB 520,,
,,,,,,,,,,,,1.8973,34CrAINi7-10 / 34CrAINi7,Grade Type L6,Alloy 230,,,VdTÜV WB 521,,
,,,,,,,,,,,,1.8975,18MnMoV5-2,Grade L6,Alloy 230/N06230,,,VdTÜV WB 522/2,,
,,,,,,,,,,,,1.8977,18MnMoV6-3,Type L6,N06230,,,VdTÜV WB 522/3,,
,,,,,,,,,,,,1.8986,StE355TM / P355M,L6,Haynes 230,,,VdTÜV WB 522/3 BBL,,
,,,,,,,,,,,,1.8987,StE355TM / S355M,Grade Type P6,VDM Alloy N06230,,,VdTÜV WB 523,,
,,,,,,,,,,,,1.8988,StE420TM / S420M,Grade P6,Alloy N06230,,,VdTÜV WB 524,,
,,,,,,,,,,,,1.8991,StE460TM / P460M,Type P6,Alloy B,,,VdTÜV WB 524 BBL,,
,,,,,,,,,,,,1.8992,EStE460TM / P460ML2,P6,B,,,VdTÜV WB 525,,
,,,,,,,,,,,,1.8995,TStE355TM / P355ML1,Grade Type S5,Hastelloy B/N1001,,,VdTÜV WB 526,,
,,,,,,,,,,,,1.8996,EStE355TM / P355ML2,Grade S5,N10001,,,VdTÜV WB 527,,
,,,,,,,,,,,,2.0321,TStE355TM / S355ML,Type S5,Alloy HB,,,VdTÜV WB 528,,
,,,,,,,,,,,,CW508L,TStE420TM / S420ML,S5,VDM Alloy HB,,,VdTÜV WB 529,,
,,,,,,,,,,,,CW600N,TStE460TM / P460ML1,Type W1A-10,C ,,,VdTÜV WB 530,,
,,,,,,,,,,,,2.0331,StE380 / S380N,Grade Type 02,Hastelloy C,,,VdTÜV WB 531,,
,,,,,,,,,,,,CW602N,StE460 / S460N,Grade 02,Alloy C ,,,VdTÜV WB 531 BBL,,
,,,,,,,,,,,,2.0375,StE420 / P420N,Type 02,Hastelloy N,,,VdTÜV WB 532,,
,,,,,,,,,,,,CW603N,StE420 / S420N2,02,N,,,VdTÜV WB 533/2,,
,,,,,,,,,,,,2.0371,StE420 / S420N,Grade Type D5,Alloy N,,,VdTÜV WB 533/3,,
,,,,,,,,,,,,CW608N,TStE460 / S460NL,Grade D5,VDM Alloy HN,,,VdTÜV WB 533/3 BBL,,
,,,,,,,,,,,,2.0380,StE550V / S550Q,Type D5,Alloy HN,,,VdTÜV WB 534,,
,,,,,,,,,,,,CW612N,StE460 / P460N,D5,HN,,,VdTÜV WB 535,,
,,,,,,,,,,,,2.0401,StE500 / S500N,Grade Type D4,600,,,VdTÜV WB 536,,
,,,,,,,,,,,,CW614N,TStE380 / S380NL,Grade D4,Alloy 600,,,VdTÜV WB 538,,
,,,,,,,,,,,,2.0550,TStE420 / P420NL1,Type D4,Alloy 600/N06600,,,VdTÜV WB 539,,
,,,,,,,,,,,,CW713R,TStE420 / S420NL,D4,N06600,,,VdTÜV WB 540,,
,,,,,,,,,,,,2.0802,EStE420 / S420NL1,Grade Type T15,Inconel 600,,,VdTÜV WB 541,,
,,,,,,,,,,,,2.0807,EStE420 / P420NL2,Grade T15,Inconel 600/N06600,,,VdTÜV WB 542,,
,,,,,,,,,,,,2.0811,TStE460 / P460NL1,Type T15,7216,,,VdTÜV WB 543,,
,,,,,,,,,,,,2.0842,TStE500 / S500NL,T15,Nicrofer 7216,,,VdTÜV WB 544,,
,,,,,,,,,,,,2.0872,EStE460TM / P460NL2,Grade Type M44,Nicrofer 7216/N06600,,,VdTÜV WB 544 BBL,,
,,,,,,,,,,,,2.0878,TStE550V / S550QL,Grade M44,7216H,,,VdTÜV WB 545,,
,,,,,,,,,,,,2.0881,TStE620V / S620QL,Type M44,Nicrofer 7216H,,,VdTÜV WB 545 BBL,,
,,,,,,,,,,,,2.0882,TStE690V / S690QL,M44,Nicrofer 7216H/N06600,,,VdTÜV WB 546,,
,,,,,,,,,,,,2.4053,WStE380 / P380NH,Grade Type M36,Nicrofer 7216/7216H/N06600,,,VdTÜV WB 546 BBL,,
,,,,,,,,,,,,2.4050,StE690V / S690Q,Grade M36,600H,,,VdTÜV WB 547,,
,,,,,,,,,,,,2.4060,WStE420 / P420NH,Type M36,600/600H ,,,VdTÜV WB 547 BBL,,
,,,,,,,,,,,,2.4061,WStE460 / P460NH,M36,Alloy 600/600H 7216/7216H,,,VdTÜV WB 548,,
,,,,,,,,,,,,2.4066,WStE460 / X10CrMoVNb9-2,Grade Type M41,Alloy 600/600H 7216/7216H/N06600,,,VdTÜV WB 549,,
,,,,,,,,,,,,2.4068,WStE460 / L460NH,Grade M41,600L,,,VdTÜV WB 550,,
,,,,,,,,,,,,2.4110,WStE460 / L460NL1,Type M41,Alloy 600L,,,VdTÜV WB 550 BBL,,
,,,,,,,,,,,,2.4116,WStE500 / P500NH,M41,7216LC,,,VdTÜV WB 551,,
,,,,,,,,,,,,2.4133,L415QB,Grade Type M42,Nicrofer 7216LC,,,VdTÜV WB 552/2,,
,,,,,,,,,,,,2.4145,L360QB,Grade M42,Nicrofer 7216LC/N06600,,,VdTÜV WB 552/2 BBL,,
,,,,,,,,,,,,2.4146,L450QB,Type M42,Nickelvac 600,,,VdTÜV WB 552/3,,
,,,,,,,,,,,,2.4151,StE460N / S460NH,M42,Ferrochronin 600,,,VdTÜV WB 552/3 BBL,,
,,,,,,,,,,,,2.4155,L485QB,Grade Type M33,Ferrochronin 600LC,,,VdTÜV WB 553,,
,,,,,,,,,,,,2.4190,TStE460N / S460NLH,Grade M33,Inconel 602,,,VdTÜV WB 554/2,,
,,,,,,,,,,,,2.4360,L555QB,Type M33,Hastelloy B2/N30012,,,VdTÜV WB 555,,
,,,,,,,,,,,,2.4361,S355J0W,M33,C276,,,VdTÜV WB 556,,
,,,,,,,,,,,,2.4363,9CrNiCuP3-2-4,Grade Type M34,Alloy C276,,,VdTÜV WB 557,,
,,,,,,,,,,,,2.4365,WTSt52-3 / S355J2W / S355J2G1W,Grade M34,Nicrofer 5716hMoW,,,VdTÜV WB 557 BBL,,
,,,,,,,,,,,,2.4366,WTSt52-3 / S355J2W,Type M34,Hastelloy C276,,,VdTÜV WB 559/2,,
,,,,,,,,,,,,2.4367,WTSt52-3 / S355J2G1W,M34,N10276,,,VdTÜV WB 560/2,,
,,,,,,,,,,,,2.4375,"StE385.7 / L390N, L385N",Grade Type T4,VDM Alloy 602MCA,,,VdTÜV WB 563/2,,
,,,,,,,,,,,,2.4377,StE415.7 / L415NB,Grade T4,Nicrofer 6025,,,VdTÜV WB 564/2,,
,,,,,,,,,,,,2.4472,StE415.7 / L415NE,Type T4,601,,,VdTÜV WB 567,,
,,,,,,,,,,,,2.4475,StE415.7TM / L415MB,T4,Alloy 601,,,VdTÜV WB 568/1,,
,,,,,,,,,,,,2.4478,StE445.7TM / L450MB,Grade Type T6,Ferrochronin 601,,,VdTÜV WB 569,,
,,,,,,,,,,,,2.4486,StE480.7TM / L485MB,Grade T6,Inconel 601,,,VdTÜV WB 570,,
,,,,,,,,,,,,2.4545,EStE550V / S550QL1,Type T6,VDM Alloy 601,,,VdTÜV WB 571/2,,
,,,,,,,,,,,,2.4560,EStE620V / S620QL1,T6,Nicrofer 6023H,,,VdTÜV WB 572,,
,,,,,,,,,,,,2.4600,EStE690V / S690QL1,Grade Type T5,925,,,VdTÜV WB 573,,
,,,,,,,,,,,,2.4600 ,S550A,Grade T5,Alloy 925,,,VdTÜV WB 574,,
,,,,,,,,,,,,2.4602,S550AL,Type T5,Nicrofer 4320Ti,,,VdTÜV WB 576,,
,,,,,,,,,,,,2.4602 ,S690A,T5,Incoloy Alloy 925,,,VdTÜV WB 580,,
,,,,,,,,,,,,2.4603,S690AL,"Grade Type M2, regular C",Incoloy 925,,,VdTÜV WB 582,,
,,,,,,,,,,,,2.4605,CuZn37,"Grade M2, regular C",VRC925,,,VdTÜV WB 583/1,,
,,,,,,,,,,,,2.4605 ,CuZn37 / CW508L,"Type M2, regular C",625,,,VdTÜV WB 584,,
,,,,,,,,,,,,2.4607,CuZn35Pb1 / CW600N,"M2, regular C",Alloy 625,,,VdTÜV WB 586,,
,,,,,,,,,,,,2.4608,CuZn36Pb1.5,Grade Type M3 Cl.1,Alloy 625/N06625,,,VdTÜV WB 587,,
,,,,,,,,,,,,2.4610,CuZn36Pb2As / CW602N,Grade M3 Cl.1,Nicrofer 6020 hMo,,,EN 10302,,
,,,,,,,,,,,,2.4610 ,CuZn36Pb3,Type M3 Cl.1,Nicrofer 6020 hMo/N06625,,,EN 10090,,
,,,,,,,,,,,,2.4617,CuZn36Pb3 / CW603N,M3 Cl.1,Inconel 625,,,EN 10028-3,,
,,,,,,,,,,,,2.4617 ,CuZn38Pb1.5 / CW608N,Grade Type M3 Cl.2,Inconel 625/N06625,,,EN 10216-1,,
,,,,,,,,,,,,2.4618,CuZn39Pb2 / CW612N,Grade M3 Cl.2,825,,,EN 10216-1 TC1,,
,,,,,,,,,,,,2.4619,CuZn39Pb3,Type M3 Cl.2,Alloy 825,,,EN 10216-1 TC2,,
,,,,,,,,,,,,2.4620,CuZn39Pb3 / CW614N,M3 Cl.2,Alloy 825/N08825,,,EN 10216-2,,
,,,,,,,,,,,,2.4627,CuZn37Mn3Al2PbSi,Grade Type M1,N08825,,,EN 10216-2 TC1,,
,,,,,,,,,,,,2.4635,CuZn37Mn3Al2PbSi / CW713R,Grade M1,4221,,,EN 10216-2 TC2,,
,,,,,,,,,,,,2.4831,CuZn40Al2 / CW713R,Type M1,Nicrofer 4221,,,EN 10216-3,,
,,,,,,,,,,,,2.4648,CuNi30Mn1Fe / CuNi30Mn1Fe,M1,Nicrofer 4221/N08825,,,EN 10216-3 TC1,,
,,,,,,,,,,,,2.4620/2.4648,"Ni99, 7Mg0, 07 / Ni99, 7Mg0, 07",Grade Type M7,Inconel 825,,,EN 10216-3 TC2,,
,,,,,,,,,,,,2.4630,"Ni99, 80",Grade M7,Inconel 825/N08825,,,EN 10216-4,,
,,,,,,,,,,,,2.4630/2.4951,"Ni99, 60 / Ni99, 60",Type M7,Incoloy 825,,,EN 10216-5,,
,,,,,,,,,,,,2.4631,"BR-Nickel99, 60 / BR-Nickel99, 60",M7,Incoloy Alloy 825,,,EN 10217-1,,
,,,,,,,,,,,,2.4631/2.4952,"LC-Ni99, 60 / LC-Ni99, 60",Grade Type T1 ,VDM FM 65 (825),,,EN 10217-2,,
,,,,,,,,,,,,2.4632,"NR-Ni99, 60 / NR-Ni99, 60",Grade T1 ,Oxford Alloy 825,,,EN 10217-3,,
,,,,,,,,,,,,2.4632/2.4969,"(S-)Ni99, 60 / (S-)Ni99, 60",Type T1,Incoloy FM 65,,,EN 10217-4,,
,,,,,,,,,,,,2.4633,"R-Ni99, 20 / R-Ni99, 20",T1 ,Techalloy 825,,,EN 10217-5,,
,,,,,,,,,,,,2.4633 ,LC-Ni99 / LC-Ni99,Grade Type B3,FM 65 (825),,,EN 10217-5 TC1,,
,,,,,,,,,,,,2.4634,NR-Ni99 / NR-Ni99,Grade B3,Alloy FM 65 (825),,,EN 10217-5 TC2,,
,,,,,,,,,,,,2.4636,NiMn2,Type B3,Nicrofer 4221 D,,,EN 10217-6,,
,,,,,,,,,,,,2.4637,NiMn5 / NiMn5,B3,VDM Alloy HT 60,,,EN 10217-7,,
,,,,,,,,,,,,2.4638,NiSiAlYHf / NiSiAlYHf,Grade Type B4,Alloy HT 60,,,EN 10305-1,,
,,,,,,,,,,,,2.4642,NiCr2Mn / NiCr2Mn,Grade B4,Cronifer II,,,EN 10305-2,,
,,,,,,,,,,,,2.4643,NiCr2MnSi / NiCr2MnSi,Type B4,Alloy 80/20,,,EN 10305-3,,
,,,,,,,,,,,,2.4646,NiCr5MnSi / NiCr5MnSi,B4,VDM Alloy HT 80 ,,,EN 10305-4,,
,,,,,,,,,,,,2.4649,SG-NiTi4 / SG-NiTi4,Grade Type B-1,Alloy HT 80 ,,,EN 10305-5,,
,,,,,,,,,,,,2.4650,NiMn4Si / NiMn4Si,Grade B-1,Cronix 80,,,EN 10255,,
,,,,,,,,,,,,2.4654,NiCu30Fe / NiCu30Fe,Type B-1,VDM Alloy 75,,,EN 10210-1,,
,,,,,,,,,,,,2.4658,LC-NiCu30Fe / LC-NiCu30Fe,B-1,Haynes Alloy 75,,,EN 10219-1,,
,,,,,,,,,,,,2.4660,NiCu30FeS / NiCu30FeS,Grade Type E50100,Haynes 75,,,EN 10296-2,,
,,,,,,,,,,,,2.4662,G-NiCu30Nb,Grade E50100,VDM Alloy 788A,,,EN 10297-2,,
,,,,,,,,,,,,2.4663,EL-NiCu30Mn / EL-NiCu30Mn,Type E50100,41,,,EN 10208-1,,
,,,,,,,,,,,,2.4663 ,G-NiCu30Si4,E50100,Alloy 41,,,EN 10208-2,,
,,,,,,,,,,,,2.4665,NiCu30Al / NiCu30Al,Grade Type E51100,Haynes R-41 Alloy,,,EN 10269,,
,,,,,,,,,,,,2.4668,UP-NiCu30MnTi / SG-NiCu30MnTi,Grade E51100,Haynes Alloy R-41,,,EN 10088-3,,
,,,,,,,,,,,,2.4669,NiFe45 / NiFe45,Type E51100,René 41,,,EN 10228,,
,,,,,,,,,,,,2.4675,NiFe46 / NiFe46,E51100,ATI René 41,,,EN 6208,,
,,,,,,,,,,,,2.4676,NiFe47 / NiFe47,Grade Type E52100,Udimet R41,,,EN 9722,,
,,,,,,,,,,,,2.4685,NiFe47Cr6 / NiFe47Cr,Grade E52100,Inconel 901,,,EN 2662,,
,,,,,,,,,,,,2.4670,NiFe15Mo / NiFe15Mo,Type E52100,Incoloy 901,,,EN 10095,,
,,,,,,,,,,,,2.4671,S-NiFe40 / S-NiFe40,E52100,Alloy Co500,,,EN 10088-1,,
,,,,,,,,,,,,2.4673,NiMO29Cr / NiMO29Cr,Grade Type 52100,Co500,,,EN 2407,,
,,,,,,,,,,,,2.4674,NiCr21Mo14W / NiCr21Mo14W,Grade 52100,Alloy 684,,,EN 10088-2,,
,,,,,,,,,,,,2.4683,NiCr30FeMo / NiCr30FeMo,Type 52100,Udimet 500,,,EN 10028-7,,
,,,,,,,,,,,,2.4692,NiCr23Mo16Al / NiCr23Mo16Al,Grade Type 440C,Alloy HT 90,,,EN 10263-5,,
,,,,,,,,,,,,2.4694,SG-NiCr23Mo16 / SG-NiCr23Mo16,Grade 440C,HT 90,,,EN 10272,,
,,,,,,,,,,,,2.4700,NiCr26MoW / NiCr26MoW,Type 440C,VDM Alloy HT 90,,,EN 10250-4,,
,,,,,,,,,,,,2.4733,NiMo16Cr16Ti / NiMo16Cr16Ti,440C,Nicro 9010,,,EN 10250-5,,
,,,,,,,,,,,,2.4778,NiMo28 / NiMo28,Grade Type M50,Alloy MP35N,,,EN 10222-2,,
,,,,,,,,,,,,2.4779,NiCr22Mo6Cu / NiCr22Mo6Cu,Grade M50,Allvac 35N,,,EN 10222-5,,
,,,,,,,,,,,,2.4810,NiCr22Mo7Cu / NiCr22Mo7Cu,Type M50,Inconel 300,,,EN 10213,,
,,,,,,,,,,,,2.4816,EL-NiCr19Nb / EL-NiCr19Nb,M50,RA330,,,EN 10213-4,,
,,,,,,,,,,,,2.4816 ,EL-NiCr16FeMn / EL-NiCr16FeMn,Grade Type 5046,RA330/N08330,,,EN 10283,,
,,,,,,,,,,,,2.4817,EL-NiCr16FeMn / EL-NiCr19Nb / EL-NiCr16FeMn / EL-NiCr19Nb,Grade 5046,Nicrofer 3718  - Alloy 330,,,EN 10088-5,,
,,,,,,,,,,,,2.4882,NiCr20Ti / NiCr20Ti,Type 5046,N06975,,,EN 10263-1,,
,,,,,,,,,,,,2.4819,NiCr20TiAl / NiCr20TiAl,5046,G-2,,,EN 10263-3,,
,,,,,,,,,,,,2.4833,NiCrCo18Ti / NiCrCo18Ti,Grade Type 4145H,Hastelloy G-2,,,EN 10085,,
,,,,,,,,,,,,2.4851,NiCrCo18Ti,Grade 4145H,Hastelloy G-2/N06975,,,EN 10083-3,,
,,,,,,,,,,,,2.4852,NiCr25FeAlY / NiCr25FeAlY,Type 4145H,B06035,,,EN 10263-4,,
,,,,,,,,,,,,2.4856,NiCo20Cr15MoAlTi / NiCo20Cr15MoAlTi,4145H,AL-6XN,,,EN 12449,,
,,,,,,,,,,,,2.4856 ,SG-NiCr21Mo14W / NiCr22Mo14W,K93600,AL-6XN/N08367,,,EN 1652,,
,,,,,,,,,,,,2.4858,NiCo15Cr15MoAlTi / NiCo15Cr15MoAlTi,Grade Type 11,M-532,,,EN 10025-3,,
,,,,,,,,,,,,Ni 8065,NiCr22Mo8AlCuTi / NiCr22Mo8AlCuTi,Grade 11,Hastelloy M-532,,,EN 10025-4,,
,,,,,,,,,,,,2.4867,NiCr20Mo14W / EL-NiCr21Mo14W,Type 11,Hastelloy M-532/N08320,,,EN 10025-6,,
,,,,,,,,,,,,2.4869,NiCr29Fe / NiCr29Fe,11,N08320,,,EN 10028,,
,,,,,,,,,,,,2.4879,NiCr29Fe9 / NiCr29Fe9,K93603,Alloy 725,,,EN 10028-2,,
,,,,,,,,,,,,2.4951,NiCr33Mo8 / NiCr33Mo8,K93601,725,,,EN 10028-5,,
,,,,,,,,,,,,2.4952,NiCr16Al / NiCr16Al,K93602,VRC725,,,EN 10208-22,,
,,,,,,,,,,,,2.4959,SG-NiCr25FeAIY / SG-NiCr25FeAIY,K94100,Inconel Alloy 725,,,EN 10120,,
,,,,,,,,,,,,2.4969,NiCo20Cr20MoTi / NiCo20Cr20MoTi,N09902,Inconel 725,,,EN 10025,,
,,,,,,,,,,,,2.4973,NiCo20Cr20MoT / NiCo20Cr20MoT,K94600,Monel R405,,,EN 10028-1,,
,,,,,,,,,,,,2.4975,NiCr20Co13Mo4Ti3Al / NiCr19Co14Mo4Ti,K94800,VDM Alloy 120,,,EN 10113-1,,
,,,,,,,,,,,,2.4983,NC20K14 / NiCr20Co13Mo4Ti3Al,Grade Type FXM-19,Haynes HR-120,,,EN 10113-2,,
,,,,,,,,,,,,2.4999,NiCr7030 / NiCr7030,Grade FXM-19,HR-120,,,EN 10149-2,,
,,,,,,,,,,,,1.4864/1.4886,NiCr20CuMo / NiCr20CuMo,Type FXM-19,Alloy 120,,,EN 10149-3,,
,,,,,,,,,,,,3.7025,NiCr13Mo6Ti3 / NiCr13Mo6Ti3,FXM-19,DURANICKEL 301,,,EN 10087,,
,,,,,,,,,,,,3.7035,NiCr23Co12Mo / NiCr23Co12Mo,Grade Type B8R,VDM Alloy 301,,,EN 10084,,
