Produkt-Typ (Rohr),Produkt-Norm (Rohr),Herstellungsart,Nennweite (DN),Nennweite (Zoll),Wandstärke (mm),Schedule,Außendurchmesser (mm),Innendurchmesser (mm),Fugenform,Oberfläche,Lieferzustand,Werkstoffnummer,DIN/EN-Bezeichnung,Stahlsorte,Handelsname,UNS-Nummer,Gussnummer,Werkstoff Norm,Zulassungen,Ursprung
,,,,,,,,,,,,1.0577,C32D,Grade Type FPA ,Alloy 48,K91670,,A575,,Österreich
,,,,,,,,,,,,1.0578,S355GD,Grade FPA,48,S65006,,A576,,Osttimor / Timor-Leste
,,,,,,,,,,,,1.0579,S390G1S / GL-AH40,Type FPA,VDM Alloy 20-6,S44537,,A578,,Pakistan
,,,,,,,,,,,,1.0580,"S390G1S / GL-AH40, GL-A40",FPA,Alloy 20-6,S44535,,A579,,Palästina
,,,,,,,,,,,,1.0582,ZSt50-2 / E295GC,Grade Type A53 Grade A,VDM Alloy 22-3,K92500,,A580,,Palau
,,,,,,,,,,,,1.0583,C55,Grade A53 Grade A,Alloy 22-3,K92400,,A581,,Panama
,,,,,,,,,,,,1.0584,StE355N / S355NH,Type A53 Grade A,Ravne PJ337,S30415,,A582,,Papua-Neuguinea
,,,,,,,,,,,,1.0586,C50,A53 Grade A,SINOXX 3949,J92605,,A588,,Paraguay
,,,,,,,,,,,,1.0589,C42D,Grade Type 6,Magnadur 3952,J93005,,A592,,Peru
,,,,,,,,,,,,1.0590,ZSt60-2 / E335GC,Grade 6,Magnadur 3964,S30900,,A600,,Philippinen
,,,,,,,,,,,,1.0595,StE355 / S355NH,Type 6,Alloy 50,S30900/S30908,,A608,,Polen
,,,,,,,,,,,,1.0596,TStE355 / S355NL,6,Nitronic 50,S30940,,A612,,Portugal
,,,,,,,,,,,,1.0601,St52-3U / S355J0H,Grade Type FPB,VDM Alloy 29-18,S30941,,A618,,Ruanda
,,,,,,,,,,,,1.0603,TStE355N / S355NLH,Grade FPB,Alloy 29-18,S30940/30941,,A632,,Rumänien
,,,,,,,,,,,,1.0605,GS-52 / GE260,Type FPB,Alloy K,S30908,,A633,,Russland
,,,,,,,,,,,,1.0609,St52-3U / S355JO,FPB,NILO Alloy K,S30815,,A638,,Salomonen
,,,,,,,,,,,,1.0611,P355NB,Grade Type WPL6,Pernifer 2918,J94202,,A645,,Sambia
,,,,,,,,,,,,1.0612,GS-60 / GE300,Grade WPL6,Kovar Alloy 29-17,S31400,,A646,,Samoa
,,,,,,,,,,,,1.0613,36Mn4,Type WPL6,Alloy 29-17,S31000,,A653,,San Marino
,,,,,,,,,,,,1.0614,StE355 / P355N,WPL6,Carpenter Kovar Alloy ,S31008,,A656,,São Tomé
,,,,,,,,,,,,1.0615,E-75,Grade Type 1035,Carpenter Kovar Alloy 29-17,S31009,,A659,,Príncipe
,,,,,,,,,,,,1.0616,N-80,Grade 1035,Dilaton 29-18,S33400,,A660,,Saudi-Arabien
,,,,,,,,,,,,1.0617,WStE355 / P355NH,Type 1035,VDM FM 36 M,N08004,,A662,,Schweden
,,,,,,,,,,,,1.0618,TStE355 / P355NL1,1035,FM 36 M,N08005,,A666,,Schweiz
,,,,,,,,,,,,1.0619,TStE355 / P355QH1,Grade Type C2,Alloy 36 M,S35315,,A668,,Senegal
,,,,,,,,,,,,1.0620,St52-3 / S355J2G3,Grade C2,Pernifer S 36 Nb Ti,N08705,,A672,,Serbien
,,,,,,,,,,,,1.0621,St52-3 / S355J2,Type C2,Corrodur 4003,N08151,,A675,,Seychellen
,,,,,,,,,,,,1.0622,P355QH1,C2,Electrodur 4005,N08330,,A678,,Sierra Leone
,,,,,,,,,,,,1.0625,St52-3N / S355J2H,Grade Type 1005,Corrodur 4006,S63018,,A681,,Simbabwe
,,,,,,,,,,,,1.0626,St52-3N / RoSt52-3,Grade 1005,Acidur 4016,S63008,,A682,,Singapur
,,,,,,,,,,,,1.0628,S355J2G4 / S355J2,Type 1005,Corrodur 4021,S63012,,A684,,Slowakei
,,,,,,,,,,,,1.0702,StE360.7TM / L360MB,1005,Dura 4025,N08810,,A686,,Slowenien
,,,,,,,,,,,,1.0703,S355J2G4C / S355J2C,Grade Type MT1010,Corrodur 4028,S32109,,A688,,Somalia
,,,,,,,,,,,,1.0710,"St52-3, St52 / S355GT",Grade MT1010,Corrodur 4031,S63019,,A691,,Somaliland
,,,,,,,,,,,,1.0711,"St52-3, St52 / E355",Type MT1010,Corrodur 4034,S63020,,A693,,Spanien
,,,,,,,,,,,,1.0715,"St52-3, St52 / S355GT, E355",MT1010,Corrodur 4037,S63021,,A694,,Sri Lanka
,,,,,,,,,,,,1.0718,StE360.7 / L360NB,Grade Type M1010,Acidur 4057,S63022,,A696,,St. Kitts und Nevis
,,,,,,,,,,,,1.0721,StE360.7 / L360NB1,Grade M1010,Corrodur 4104,S63023,,A705,,St. Lucia
,,,,,,,,,,,,1.0722,S355G1S / GL-AH36,Type M1010,Electrodur 4105,S63024,,A706,,St. Vincent und die Grenadinen
,,,,,,,,,,,,1.0723,S355G1S / GL-A36,M1010,Dura 4110,S63025,,A707,,Südafrika
,,,,,,,,,,,,1.0724,"S355G1S / GL-AH36, GL-A36",Grade Type 1008,Dura 4116,S63026,,A709,,Sudan
,,,,,,,,,,,,1.0725,"S355G2S / GL-DH36, GL-D36",Grade 1008,S44625,R30556,,A711,,Südossetien
,,,,,,,,,,,,1.0726,S355G2S / GL-DH36,Type 1008,Acidur 4313,K92460,,A713,,Südsudan
,,,,,,,,,,,,1.0727,S355G2S / GL-D36,1008,Core 301LN,K90901,,A723,,Suriname
,,,,,,,,,,,,1.0728,C50D,Grade Type WPB,Uranus S1,K91560,,A714,,Swasiland
,,,,,,,,,,,,1.0736,S355G3S / GL-EH36,Grade WPB,Alloy 1815,K11564,,A724,,Syrien
